host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883803.587193,14:30:03.587,9102,93.928,24.83,1010.28,0.47,0.478,-0.25,-0.017,-30.298,0.025,-1.119,0.564,-18.431,2.571,458.24,-235.43,3.94,0,214,1,0.0
1782883803.587227,14:30:03.587,9103,94.404,0.0,42949670.46,-0.031,1673.638,37026.721,336312.321,-19.712,-23.543,0.394,-10.752,0.001,-9.984,0.01,15.36,-0.01,255,239,255,-0.01
1782883803.587240,14:30:03.587,9104,129.166,0.25,370267.21,504084.481,-1559645.44,754975.114,-318767.102,0.001,-2.048,0.0,-6.656,-0.001,-22.785,65.37,-243.2,135.63,0,1,26,102.48
1782883803.587452,14:30:03.587,9107,93.978,24.83,1010.27,0.557,0.498,0.248,-0.034,-30.298,0.038,-1.119,0.052,17.153,2.571,458.24,-237.99,3.94,0,45,2,0.0
1782883803.587463,14:30:03.587,9108,94.478,0.0,2.48,0.017,2525.606,3472.289,336280.321,-19.712,-23.799,0.394,11.52,0.002,-2.304,0.01,-20.48,0.0,0,13,0,0.0
1782883803.587471,14:30:03.587,9109,129.216,0.38,34722.89,504050.689,-1542868.224,-704642.678,-301989.887,0.001,2.816,-0.001,-7.169,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883803.691639,14:30:03.691,9112,94.028,24.83,1010.28,0.47,0.489,-0.246,-0.021,-30.298,0.038,-1.119,0.052,-18.431,2.571,458.24,-235.43,3.94,0,214,1,0.0
1782883803.691680,14:30:03.691,9113,94.514,0.0,42949670.5,-0.04,2525.606,3472.289,336312.321,-19.712,-23.543,0.394,-10.752,0.001,-7.168,0.01,25.6,-0.01,255,253,255,-0.01
1782883803.691693,14:30:03.691,9114,129.266,0.38,34722.89,504084.481,-1542868.224,-704642.678,-553648.127,0.001,18.176,-0.001,-3.585,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883803.691930,14:30:03.691,9117,94.078,24.83,1010.28,0.47,0.475,-0.186,-0.026,-30.298,0.038,-1.119,0.052,-18.431,2.571,458.24,-235.43,3.94,0,214,1,0.0
1782883803.691941,14:30:03.691,9118,94.551,0.0,42949671.1,-0.005,2525.606,3472.289,302757.889,-19.712,-23.543,0.394,-10.752,0.001,-9.984,0.01,179.2,-0.01,255,251,255,-0.01
1782883803.691950,14:30:03.691,9119,129.316,0.38,34722.89,504084.481,-1542868.224,-704642.678,-704643.071,0.001,29.696,-0.001,-4.097,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883803.796772,14:30:03.796,9122,94.128,24.83,1010.28,0.47,0.467,-0.14,0.001,-30.298,0.038,-1.119,0.052,-18.431,2.571,458.24,-235.43,3.94,0,214,1,0.0
1782883803.796808,14:30:03.796,9123,94.594,0.0,42949671.56,-0.026,2525.606,3472.289,336312.321,-19.712,-23.543,0.394,-10.752,0.001,-12.288,0.01,294.4,-0.01,255,218,255,-0.01
1782883803.796823,14:30:03.796,9124,129.366,0.38,34722.89,504084.481,-1559645.44,754975.114,-436207.614,0.001,14.848,0.001,-3.84,-0.001,-22.785,98.65,-243.2,135.63,1,1,175,102.47
1782883803.797127,14:30:03.797,9127,94.178,24.83,1010.27,0.557,0.492,0.314,0.011,-30.298,0.038,-1.119,0.308,12.801,2.827,458.24,-237.99,3.94,0,45,2,0.0
1782883803.797142,14:30:03.797,9128,94.674,0.0,3.14,-0.007,2525.606,20249.505,336275.457,-19.712,-23.799,0.394,11.52,0.002,-3.328,0.01,148.48,0.01,0,249,255,-0.01
1782883803.797152,14:30:03.797,9129,129.416,0.38,202495.05,504045.569,-1559645.44,754975.114,16777.218,0.002,-5.376,0.0,1.28,0.0,-23.04,98.65,-243.2,135.63,1,1,243,97.36
